Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,74969122,G,59.9226,-46.1516,29.4115,-24.407,54.7266,-0.4324,2.5742,1,G,52.4465,30.1097,-16.3989,-39.6876,34.2859,-0.9885,-0.4987,-1,89.9557
165617,75887636,G,152.972,7.4657,-30.7098,-149.671,31.6042,-2.2593,-1.3323,-1,G,33.5835,-9.2878,28.7457,-14.6719,30.2089,-0.4684,1.8833,1,88.2438
165617,75779415,G,50.244,37.8072,-12.2044,-30.759,39.7283,-0.7124,-0.3122,1,G,49.2396,-47.6064,8.2338,-9.5061,48.3132,-0.1955,2.9703,-1,90.3544
165617,75098104,G,41.8051,-41.0848,-4.1562,-6.513,41.2945,-0.1571,-3.0408,1,G,51.3393,43.4776,-1.8589,27.2389,43.5174,0.5909,-0.0427,-1,90.5782
165617,76042048,G,65.8067,42.8333,-10.558,-48.8298,44.1153,-0.955,-0.2417,-1,G,90.129,-46.8052,14.5669,-75.6327,49.0196,-1.2183,2.8399,1,93.7719
165617,77076988,G,53.2607,-5.5119,37.5565,-37.3607,37.9588,-0.8702,1.7165,1,G,42.7894,-11.0989,-36.2872,19.7732,37.9466,0.5,-1.8676,-1,92.945
165617,77459740,G,94.7912,-15.0862,49.4345,-79.4607,51.6852,-1.2153,1.867,-1,G,64.6784,24.7125,-33.5554,-49.4632,41.6734,-1.0076,-0.936,1,92.002
165617,76405662,G,51.9214,-2.5071,-42.0474,-30.357,42.1221,-0.6695,-1.6303,-1,G,69.9022,9.9183,44.394,-53.0764,45.4884,-0.9946,1.351,1,88.4274
165617,76179155,G,162.538,23.2432,-39.1325,-156.036,45.5148,-1.9458,-1.0348,1,G,121.412,-20.4155,36.9534,-113.835,42.2178,-1.7178,2.0755,-1,88.2308
165617,75954345,G,45.1733,11.7891,-31.2908,30.373,33.438,0.8151,-1.2105,-1,G,45.6702,-13.0934,36.9828,-23.3794,39.2322,-0.5653,1.9111,1,90.3855
